Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,X
1987,,14,-1,741,730,912,849,PS,1451,-99999,91,79, ,23,11,SAN,SFO,447, ,NA,0,NA,0,NA,NA,NA,NA,NA,0
1987,10,14, ,741,730,912,849,PS,1451,NA,91,79,NA,23,11,SAN,SFO,447,NA,0,0,NA,0,NA,NA,NA,NA,NA,0
1987,NA,14,3,741,730,912,849,PS,1451,NA,91,79,NA,23,11,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0
1987,10,14,3,741,730,912,NA,PS,1451,NA,91,79,NA,23,11,SAN,SFO,447, ,NA,0,NA,0,NA,NA,NA,NA,NA,0
1987,10,15,4,729,730,903,849,0,1451,NA,94,79,NA,14,-1,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,1
1987,10,17,6,741,730,NA,849,PS,1451,NA,97,79,NA,29,11,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,2
,10,18,7,729,730,847,849,-1,1451,NA,78,79,NA,-2,-1,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3
1987,10,19,1,NA,730,922,849,PS,1451,NA,93,79,NA,33,19,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,4
1987, ,19,,749,730,922,849,PS, ,NA,93,79,NA,33,19,SAN,SFO,447, ,NA,0,NA,0,NA,NA,NA,NA,NA,4
1987,10,19,1,749,-99999,922,849,PS,1451,NA,93,79,NA,33,19,SAN,SFO,-1,,NA,0,NA,0,NA,NA,NA,NA,NA,4
1987,10,21,3,0,730,848,849,PS,1451,NA,-99999,79,NA,-1,-2,SAN,SFO,447, ,NA,0,NA,0,NA,NA,NA,NA,NA,5
1987,10,21, ,728,730,848,849,,0,NA,80, ,NA,-1,-2,,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,5
1987,10,22,4,728,730,852,849,PS,1451,NA,84,79,NA,3,-2,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,6
1987,10,22,-1,728,730,852,849,PS,1451,NA,84,79,NA,3,-2,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA,6
