Factor,Character,Numeric,Logical,Scatterplot,Boxplot,Histogram,QN,Barplot
0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
1,0,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
2,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE
3,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE
0,1,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
1,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
2,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE
0,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
1,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
0,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
0,0,1,0,FALSE,TRUE,TRUE,TRUE,FALSE
1,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE
2,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE
0,1,1,0,FALSE,TRUE,FALSE,FALSE,FALSE
1,1,1,0,FALSE,TRUE,FALSE,FALSE,FALSE
0,2,1,0,FALSE,TRUE,FALSE,FALSE,FALSE
0,0,2,0,TRUE,FALSE,FALSE,FALSE,FALSE
1,0,2,0,TRUE,TRUE,FALSE,FALSE,FALSE
0,1,2,0,TRUE,FALSE,FALSE,FALSE,FALSE
0,0,3,0,TRUE,FALSE,FALSE,FALSE,FALSE
0,0,0,1,FALSE,FALSE,TRUE,TRUE,FALSE
1,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
2,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
0,1,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
1,1,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
0,2,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
0,0,1,1,FALSE,TRUE,FALSE,FALSE,FALSE
1,0,1,1,FALSE,TRUE,FALSE,FALSE,FALSE
0,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE
0,0,2,1,TRUE,TRUE,FALSE,FALSE,FALSE
0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
1,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
0,1,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
0,0,1,2,FALSE,TRUE,FALSE,FALSE,FALSE
0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
